LLD_Index,Arousal,Performance_Rank,Drop,Robustness_Rank,Joint_Rank
41,0.0492064580321311,12,0.0047693476080893984,15,27
7,0.1132939606904983,7,0.008119426667690291,26,33
64,0.0602673813700675,11,0.009137365967035196,28,39
28,0.0140347192063927,31,0.0022021224722266006,8,39
24,0.0061311675235629,38,0.0002706819213925994,1,39
59,0.024583438411355,22,0.0070463456213475,21,43
46,0.0124046970158815,33,0.0023031393066049004,10,43
57,0.0038943437393754,40,0.0006026024930179002,3,43
26,0.0011723871575668,45,0.00034017255529760013,2,47
1,0.0,47,8.264962499116013e-12,0,47
40,0.0817313566803932,9,0.01921227574348451,40,49
51,0.0023920340463519,43,0.0022011380642652,7,50
37,0.0001992899924516,46,0.0012739757075906002,5,51
2,0.1145898401737213,6,0.036153994500637096,46,52
47,0.0371288992464542,16,0.0180372782051563,37,53
33,0.0615919269621372,10,0.0312160737812519,43,53
39,0.0320507250726223,18,0.0162304379045963,36,54
19,0.005736721213907,39,0.0052348561002873,16,55
34,-0.0014734541764482,51,0.0010768625652418002,4,55
44,0.0362420231103897,17,0.0188099220395088,39,56
5,0.1255404651165008,4,0.0889803469181061,54,58
63,0.0177948735654354,27,0.012386827729642398,31,58
6,0.1312446892261505,3,0.09503771364688882,56,59
23,0.021723560988903,24,0.0158371380530298,35,59
31,0.1596822142601013,2,0.10763278976082799,58,60
13,0.1054449751973152,8,0.059294708073139205,52,60
50,-5.109806443215348e-05,48,0.0034390602995699533,12,60
38,0.0061412896029651,37,0.007932123262435201,24,61
54,-0.0073463739827275,56,0.001965729519724801,6,62
10,0.2504830658435821,1,0.1205123215913772,61,62
62,0.0489516109228134,13,0.046795000554993804,49,62
16,-0.0054388465359807,54,0.0022437712177634005,9,63
65,0.0074974242597818,36,0.0083344038575888,27,63
56,-0.003361094975844,53,0.0028969247068744,11,64
3,0.0128088351339101,32,0.012856052373535851,32,64
11,0.0238839816302061,23,0.023846932956075755,41,64
8,0.252327412366867,0,0.1497170478105545,64,64
17,-0.0007703355513513,50,0.00454774312675,14,64
30,0.0100830234587192,35,0.0112109568435698,29,64
45,0.0280843582004308,21,0.035142669454217,45,66
22,0.0213470570743083,25,0.0257455632090569,42,67
14,0.1253934055566787,5,0.1425490528345109,63,68
25,-0.0074746184982359,57,0.0040014761034399,13,70
55,-0.0026448115240782,52,0.005873175570741301,19,71
49,-0.0006355798686854,49,0.0074770323117264,23,72
48,0.0028138572815805,42,0.0120833513792604,30,72
12,0.0451923720538616,14,0.10902475193142891,59,73
60,0.0295155402272939,20,0.0933825913816691,55,75
35,0.0016157025238499,44,0.013463444658555,33,77
27,0.0372156798839569,15,0.12274868786334989,62,77
29,0.0169072113931179,28,0.048744957894086796,50,78
32,0.0318197682499885,19,0.1191436722874642,60,79
43,0.0206666328012943,26,0.06643135473132131,53,79
4,0.0035310555249452,41,0.0184945268556475,38,79
18,-0.0089146774262189,58,0.0072518839733675,22,80
52,-0.0164976436644792,62,0.005795329809188799,18,80
20,-0.0110001871362328,60,0.006708289030939299,20,80
61,0.0159515608102083,30,0.0511375945061445,51,81
58,0.0114222643896937,34,0.0436349892988801,47,81
53,-0.0297278854995965,64,0.005792638286948197,17,81
36,-0.0099362283945083,59,0.0079719014465809,25,84
9,0.0160575900226831,29,0.10061701200902459,57,86
21,-0.0073301782831549,55,0.0143056507222353,34,89
42,-0.0137203633785247,61,0.031354919075965895,44,105
15,-0.0197809655219316,63,0.0442822482436895,48,111
