LLD_Index,Valence,Performance_Rank,Drop,Robustness_Rank,Joint_Rank
52,0.0330917164683342,0,0.0009313933551311007,11,11
17,0.0190925356000661,4,0.0025311168283224,22,26
8,0.0051854667253792,19,0.0008445275016129,9,28
7,0.0124327540397644,6,0.003843148238957001,28,34
62,0.0033325427211821,24,0.0009033540263772002,10,34
15,0.0089197568595409,14,0.0024941340088843996,20,34
9,0.0102217094972729,11,0.0030657770112157007,25,36
6,0.0110504608601331,10,0.0032362453639507,26,36
1,-9.133341999367771e-11,36,9.13316841132606e-11,0,36
37,0.0001345607306575,34,0.00016113276069519997,3,37
27,0.0116781527176499,9,0.0059170955792069,34,43
3,0.0118082100525498,8,0.006444496102631099,35,43
26,-0.0006451563094742,39,0.0006344708963297,6,45
23,-0.001509625930339,41,0.0005972572835162,5,46
5,0.0010181127581745,31,0.0014068412128836,15,46
21,-0.002337351674214,44,0.00012784986756740006,2,46
19,0.0009161993511952,32,0.0014299306785687,16,48
2,0.0080206906422972,16,0.0052430680952966005,32,48
35,-0.0017090713372454,42,0.0006840761052444,7,49
11,-0.0002256625884911,38,0.0009879114950308,12,50
53,0.0301111601293087,2,0.012139234691858302,50,52
36,0.001882639946416,28,0.0030258160550146996,24,52
50,0.0011135004460811,30,0.0025584722170605,23,53
25,0.0008163400925695,33,0.0025057294405997003,21,54
56,-0.0007674377411603,40,0.0013758247951044,14,54
24,-0.0031748504843562,47,0.0007469048723578002,8,55
57,-0.0001233393268194,37,0.0018674036546144,18,55
49,0.0201339703053236,3,0.013038689270615501,52,55
18,0.0122481463477015,7,0.0121072148904204,49,56
20,0.0313925817608833,1,0.014747798442840604,55,56
10,0.0034951921552419,23,0.0058939440641550996,33,56
55,-0.0069046448916196,55,0.00011296197772030052,1,56
51,0.0068058264441788,17,0.0088210231624543,41,58
40,0.0012498969445005,29,0.0039162148023024,30,59
65,0.0089675644412636,13,0.010958203114569201,47,60
13,0.0157463178038597,5,0.0154595054918901,56,61
33,0.0029440165963023,25,0.0069386407267301,36,61
38,-0.0032590797636657,48,0.0011594987008721,13,61
47,-0.0104676270857453,58,0.0003000199794768992,4,62
12,0.0094807222485542,12,0.0138433808460831,54,66
28,-0.0035896874032914,49,0.0017100156983361002,17,66
32,-0.0021850988268852,43,0.0038295742124319,27,70
54,0.0023913197219371,27,0.0091416873037815,43,70
42,0.0026756606530398,26,0.0095032884273678,45,71
59,-0.0067734401673078,54,0.0023024841211736003,19,73
48,0.0045074969530105,21,0.013313597068190599,53,74
64,0.0088048866018652,15,0.0207923715934158,61,76
14,4.4988668378209695e-05,35,0.00902805736768639,42,77
34,0.0051221470348536,20,0.0190736935473979,59,79
31,0.0054239090532064,18,0.048389436677098205,64,82
41,-0.0062783150933682,52,0.0039375161286443,31,83
4,0.0037060573231428,22,0.0240374046843498,62,84
16,-0.0027355947531759,46,0.0078160329721867,39,85
43,-0.0102898320183157,57,0.0038492148742078998,29,86
22,-0.0065964274108409,53,0.0077898851595818,38,91
30,-0.003743858076632,50,0.0091658304445445,44,94
46,-0.0118086915463209,60,0.0073580527678132,37,97
44,-0.0206733308732509,63,0.007942023687064599,40,103
63,-0.0024851283524185,45,0.0199588516261429,60,105
60,-0.0142933949828147,61,0.009676139801740601,46,107
45,-0.0079942140728235,56,0.012751497328281399,51,107
39,-0.004437225870788,51,0.0163125256076456,57,108
58,-0.0242196675390005,64,0.011627838946878901,48,112
61,-0.0169854201376438,62,0.016941041612881222,58,120
29,-0.0108037544414401,59,0.0371478842571377,63,122
